"Tabela 2030 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Classes de rendimento nominal mensal"
"Município","Ano","Total","Até 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento"
"Santa Filomena (PE)","2010","10772","4680","792","93","40","50","-","-","5117"
"Santa Maria da Boa Vista (PE)","2010","30996","15027","3066","712","365","290","53","34","11449"
"Santa Maria do Cambucá (PE)","2010","10758","5689","1240","227","113","57","13","-","3419"
"Santa Terezinha (PE)","2010","8984","3995","933","228","90","18","5","-","3715"
"São Benedito do Sul (PE)","2010","11655","4249","739","87","46","19","-","-","6515"
"São Bento do Una (PE)","2010","43062","21175","4207","767","409","225","62","34","16182"
"São Caitano (PE)","2010","29091","14252","3434","683","289","226","65","8","10133"
"São João (PE)","2010","17442","8553","1854","221","132","132","62","-","6489"
"São Joaquim do Monte (PE)","2010","16912","8613","1235","156","111","48","39","19","6691"
"São José da Coroa Grande (PE)","2010","14495","5879","1512","409","230","183","46","24","6211"
"São José do Belmonte (PE)","2010","26879","12392","2627","586","382","268","62","6","10556"
"São José do Egito (PE)","2010","26952","13295","2860","631","461","303","118","19","9264"
"São Lourenço da Mata (PE)","2010","86662","34421","12242","3078","1966","995","273","70","33617"
"São Vicente Férrer (PE)","2010","14036","7062","967","145","110","72","23","28","5629"
"Serra Talhada (PE)","2010","65755","29102","8152","1776","1963","1023","436","108","23195"
"Serrita (PE)","2010","14879","6749","1126","166","115","89","26","14","6594"
"Sertânia (PE)","2010","28074","11285","3013","801","563","293","57","45","12017"
"Sirinhaém (PE)","2010","32614","12923","3692","965","401","241","14","15","14362"
"Moreilândia (PE)","2010","9106","3932","781","146","62","52","4","-","4129"
"Solidão (PE)","2010","4728","1838","510","81","37","37","6","4","2215"
"Surubim (PE)","2010","49323","22696","5617","1174","1020","476","180","49","18111"
"Tabira (PE)","2010","21884","10985","2163","509","270","150","43","-","7764"
"Tacaimbó (PE)","2010","10504","4957","899","187","73","17","-","-","4371"
"Tacaratu (PE)","2010","17778","8419","1572","193","82","67","-","-","7445"
"Tamandaré (PE)","2010","16723","6111","2121","374","286","228","29","10","7565"
"Taquaritinga do Norte (PE)","2010","20794","10629","4030","721","342","240","9","36","4788"
"Terezinha (PE)","2010","5540","2558","510","80","51","42","12","-","2288"
"Terra Nova (PE)","2010","7555","3563","657","179","75","49","4","-","3026"
"Timbaúba (PE)","2010","45027","20332","4604","1109","1008","467","74","28","17405"
"Toritama (PE)","2010","28900","12138","7191","1369","732","319","95","35","7020"
"Tracunhaém (PE)","2010","10756","4920","1185","167","86","60","5","8","4324"
"Trindade (PE)","2010","20713","8786","2643","440","281","188","81","49","8245"
"Triunfo (PE)","2010","12794","5987","1522","397","262","212","37","42","4336"
"Tupanatinga (PE)","2010","19128","7899","1147","177","131","60","-","11","9703"
"Tuparetama (PE)","2010","6787","3523","893","280","119","42","17","4","1908"
"Venturosa (PE)","2010","13073","6662","1139","313","134","80","33","4","4707"
"Verdejante (PE)","2010","7484","3166","863","85","142","45","22","-","3162"
"Vertente do Lério (PE)","2010","6631","3135","580","44","22","15","-","3","2833"
"Vertentes (PE)","2010","15143","8130","2052","368","202","103","29","11","4248"
"Vicência (PE)","2010","25776","10141","2231","442","295","109","17","21","12520"
"Vitória de Santo Antão (PE)","2010","109888","47954","13609","3515","2564","1574","415","135","40122"
"Xexéu (PE)","2010","11395","4724","1054","253","180","27","18","6","5133"
"Água Branca (AL)","2010","15409","6267","1306","234","164","40","20","5","7373"
"Anadia (AL)","2010","14205","5932","1405","159","133","113","20","-","6443"
"Arapiraca (AL)","2010","177219","74290","22959","5935","4842","3614","968","253","64357"
"Atalaia (AL)","2010","35017","14319","3504","677","402","171","53","24","15868"
"Barra de Santo Antônio (AL)","2010","11330","4403","1096","217","131","76","40","-","5367"
"Barra de São Miguel (AL)","2010","6171","2691","780","218","128","92","44","25","2193"
"Batalha (AL)","2010","13837","6734","1414","256","150","103","8","10","5162"
"Belém (AL)","2010","3797","1853","350","83","38","25","-","7","1440"
"Belo Monte (AL)","2010","5717","2093","366","65","37","15","7","7","3127"
"Boca da Mata (AL)","2010","20806","8303","2099","578","306","174","50","-","9297"
"Branquinha (AL)","2010","8354","3594","821","78","43","30","-","-","3787"
"Cacimbinhas (AL)","2010","8303","3947","612","123","105","59","19","12","3426"
"Cajueiro (AL)","2010","16110","6532","1445","345","113","108","15","-","7552"
"Campestre (AL)","2010","5239","2118","544","132","74","52","3","-","2315"
"Campo Alegre (AL)","2010","40316","11767","4986","715","397","109","26","25","22291"
"Campo Grande (AL)","2010","7366","3029","478","48","48","20","6","6","3731"
"Canapi (AL)","2010","13382","6294","918","165","74","63","11","4","5854"
"Capela (AL)","2010","13576","6080","1182","235","197","64","35","-","5783"
"Carneiros (AL)","2010","6332","2837","614","77","37","27","17","-","2722"
"Chã Preta (AL)","2010","5629","2640","353","92","62","16","12","1","2452"
"Coité do Nóia (AL)","2010","8928","4110","716","141","32","31","-","-","3899"
"Colônia Leopoldina (AL)","2010","15730","6440","1842","358","199","118","-","9","6765"
"Coqueiro Seco (AL)","2010","4528","1919","571","110","92","31","11","4","1790"
"Coruripe (AL)","2010","41772","16741","5115","1265","758","434","125","42","17292"
"Craíbas (AL)","2010","18304","8409","1520","224","117","69","11","10","7943"
"Delmiro Gouveia (AL)","2010","39151","16236","4386","1137","1091","478","102","31","15691"
"Dois Riachos (AL)","2010","8733","3931","570","55","90","42","-","-","4046"
"Estrela de Alagoas (AL)","2010","14240","7043","1103","145","38","15","18","-","5878"
"Feira Grande (AL)","2010","17235","7578","1138","187","135","82","-","-","8115"
"Feliz Deserto (AL)","2010","3531","1645","403","61","40","17","5","3","1358"
"Flexeiras (AL)","2010","9806","4293","878","162","91","37","5","-","4340"
"Girau do Ponciano (AL)","2010","29374","11543","2120","287","149","141","29","-","15107"
"Ibateguara (AL)","2010","12084","5575","606","135","58","66","9","4","5631"
"Igaci (AL)","2010","20612","9296","1672","262","225","134","21","20","8983"
"Igreja Nova (AL)","2010","19059","7726","1422","194","153","40","21","20","9484"
"Inhapi (AL)","2010","13905","5335","659","81","103","48","15","8","7657"
"Jacaré dos Homens (AL)","2010","4281","2042","337","52","41","35","15","-","1760"
"Jacuípe (AL)","2010","5579","2546","465","111","59","28","9","-","2360"
"Japaratinga (AL)","2010","6024","2757","611","123","98","43","10","8","2374"
"Jaramataia (AL)","2010","4474","2244","347","65","59","26","3","-","1730"
"Jequiá da Praia (AL)","2010","9610","4455","692","143","78","46","-","8","4188"
"Joaquim Gomes (AL)","2010","17482","7706","1281","251","188","66","-","-","7991"
"Jundiá (AL)","2010","3431","1574","329","62","38","18","14","8","1389"
"Junqueiro (AL)","2010","19523","8534","2156","293","260","165","23","34","8057"
"Lagoa da Canoa (AL)","2010","14910","6631","1061","304","146","80","24","-","6664"
"Limoeiro de Anadia (AL)","2010","22110","9186","1892","264","166","49","33","20","10500"
"Maceió (AL)","2010","784570","258017","127768","39899","38128","37547","14000","6479","262731"
"Major Isidoro (AL)","2010","15417","7486","1427","298","137","177","38","5","5849"
"Maragogi (AL)","2010","22778","9679","2319","469","340","152","80","13","9727"
"Maravilha (AL)","2010","8252","3606","860","187","63","47","24","-","3465"
"Marechal Deodoro (AL)","2010","37356","14314","4864","1227","811","844","345","105","14846"
"Maribondo (AL)","2010","11277","5529","1331","257","122","66","11","14","3947"
"Mar Vermelho (AL)","2010","3009","1522","233","33","20","10","-","2","1189"
"Mata Grande (AL)","2010","19406","8428","1396","302","178","53","-","-","9050"
"Matriz de Camaragibe (AL)","2010","18987","7575","1759","295","223","86","10","-","9038"
"Messias (AL)","2010","12423","4632","1480","313","134","76","18","9","5760"
"Minador do Negrão (AL)","2010","4414","2070","354","29","17","27","4","3","1912"
"Monteirópolis (AL)","2010","5487","2623","338","64","39","2","2","-","2418"
"Murici (AL)","2010","21088","8997","1821","349","213","154","10","-","9544"
"Novo Lino (AL)","2010","9596","4249","759","185","88","45","26","9","4236"
"Olho d'Água das Flores (AL)","2010","16468","8084","1436","242","216","152","21","37","6279"
"Olho d'Água do Casado (AL)","2010","6678","2765","676","52","45","54","-","-","3086"
"Olho d'Água Grande (AL)","2010","3891","1631","206","15","12","6","9","-","2012"
"Olivença (AL)","2010","8990","4006","663","79","44","41","10","5","4143"
"Ouro Branco (AL)","2010","8742","4010","790","169","96","49","17","-","3612"
"Palestina (AL)","2010","4059","1574","265","33","24","13","7","2","2140"
"Palmeira dos Índios (AL)","2010","58411","24614","6656","1779","1575","1101","303","100","22284"
"Pão de Açúcar (AL)","2010","19472","8393","1296","323","285","114","40","10","9010"
"Pariconha (AL)","2010","8167","3458","807","104","72","35","7","-","3685"
"Paripueira (AL)","2010","9179","3786","1298","188","157","108","40","5","3596"
"Passo de Camaragibe (AL)","2010","11384","4944","968","159","106","46","10","-","5151"
"Paulo Jacinto (AL)","2010","6062","3007","492","98","70","47","13","-","2336"
"Penedo (AL)","2010","49879","20715","5272","1403","964","753","276","34","20463"
"Piaçabuçu (AL)","2010","14034","6643","1042","156","138","115","25","-","5915"
"Pilar (AL)","2010","26845","10363","2920","765","471","313","8","21","11985"
"Pindoba (AL)","2010","2342","1115","176","56","22","11","17","3","943"
"Piranhas (AL)","2010","17972","7018","1648","288","291","229","64","22","8413"
"Poço das Trincheiras (AL)","2010","10867","4037","674","100","66","9","4","18","5960"
"Porto Calvo (AL)","2010","20344","8831","2114","458","273","177","12","11","8469"
"Porto de Pedras (AL)","2010","6701","3201","497","68","77","77","10","4","2768"
"Porto Real do Colégio (AL)","2010","15696","6187","872","189","104","111","34","4","8194"
"Quebrangulo (AL)","2010","9464","4402","572","125","102","66","25","-","4172"
"Rio Largo (AL)","2010","56359","21268","8378","2089","1317","806","103","61","22337"
"Roteiro (AL)","2010","5012","2167","541","56","33","14","4","3","2195"
"Santa Luzia do Norte (AL)","2010","5580","2239","735","107","124","49","-","6","2319"
"Santana do Ipanema (AL)","2010","35859","15507","3132","847","755","450","67","71","15031"
"Santana do Mundaú (AL)","2010","8918","3977","509","91","63","29","-","-","4249"
"São Brás (AL)","2010","5447","2283","336","82","82","43","14","4","2603"
"São José da Laje (AL)","2010","18201","7440","2230","379","202","169","65","6","7710"
"São José da Tapera (AL)","2010","23325","9618","1808","302","236","134","24","-","11203"
"São Luís do Quitunde (AL)","2010","25213","10450","2352","542","310","175","63","18","11301"
"São Miguel dos Campos (AL)","2010","43927","14387","6564","1671","1248","637","137","54","19230"
"São Miguel dos Milagres (AL)","2010","5770","2537","628","133","54","23","14","-","2380"
"São Sebastião (AL)","2010","25585","11832","2098","363","262","97","40","11","10881"
"Satuba (AL)","2010","12234","3387","1928","450","337","164","34","14","5919"
"Senador Rui Palmeira (AL)","2010","10083","4521","695","103","39","10","5","-","4709"
"Tanque d'Arca (AL)","2010","5094","2534","394","74","54","14","5","-","2019"
"Taquarana (AL)","2010","15522","7550","1325","156","134","37","10","5","6305"
"Teotônio Vilela (AL)","2010","32229","12935","3885","638","344","110","55","28","14234"
"Traipu (AL)","2010","20322","8263","1012","205","139","137","27","11","10528"
"União dos Palmares (AL)","2010","50126","21413","4834","1353","1094","526","146","26","20734"
"Viçosa (AL)","2010","20666","8720","1208","314","345","215","26","24","9813"
"Amparo do São Francisco (SE)","2010","1871","1010","164","30","28","13","2","4","620"
"Aquidabã (SE)","2010","16641","7648","1547","334","341","171","6","-","6595"
"Aracaju (SE)","2010","490097","137986","79754","27891","30637","30211","15162","6944","161512"
"Arauá (SE)","2010","8913","4735","571","109","79","53","11","7","3349"
"Areia Branca (SE)","2010","13852","6257","1680","318","153","161","43","-","5239"
"Barra dos Coqueiros (SE)","2010","20556","6484","2756","763","736","462","89","33","9233"
"Boquim (SE)","2010","21140","10515","2230","437","523","199","30","-","7205"
"Brejo Grande (SE)","2010","6136","3164","387","65","74","39","-","-","2407"
"Campo do Brito (SE)","2010","13989","7414","1546","356","277","165","56","41","4134"
"Canhoba (SE)","2010","3217","1701","212","63","37","29","-","3","1172"
"Canindé de São Francisco (SE)","2010","19296","8323","1807","305","318","293","33","18","8198"
"Capela (SE)","2010","24916","10167","2582","661","411","255","114","21","10704"
"Carira (SE)","2010","16451","8684","1757","401","140","116","31","12","5309"
"Carmópolis (SE)","2010","10843","3508","1632","399","315","193","54","7","4735"
"Cedro de São João (SE)","2010","4693","2263","480","120","86","59","23","11","1651"
"Cristinápolis (SE)","2010","13143","6527","1073","309","117","99","17","-","5001"
"Cumbe (SE)","2010","3207","1629","281","75","64","15","-","3","1140"
"Divina Pastora (SE)","2010","3481","1324","613","84","44","33","-","-","1384"
"Estância (SE)","2010","53518","21208","7941","1819","1330","795","296","95","20034"
"Feira Nova (SE)","2010","4367","1982","320","69","47","33","2","-","1914"
"Frei Paulo (SE)","2010","11654","5453","1566","292","214","159","40","8","3922"
"Gararu (SE)","2010","9244","4124","529","125","100","105","15","10","4235"
"General Maynard (SE)","2010","2448","829","339","76","57","32","-","7","1108"
"Gracho Cardoso (SE)","2010","4722","2052","347","56","66","40","10","3","2146"
"Ilha das Flores (SE)","2010","6610","3016","317","127","47","27","10","-","3065"
"Indiaroba (SE)","2010","12371","5877","959","256","203","80","5","-","4991"
"Itabaiana (SE)","2010","72845","33154","10590","2583","2145","1312","393","131","22537"
"Itabaianinha (SE)","2010","31258","17280","2619","620","324","213","54","-","10148"
"Itabi (SE)","2010","4229","2197","358","76","56","47","3","-","1492"
"Itaporanga d'Ajuda (SE)","2010","24771","9803","2703","394","222","150","7","-","11493"
"Japaratuba (SE)","2010","13990","5315","1643","329","266","147","38","-","6253"
"Japoatã (SE)","2010","10391","5347","872","59","113","97","6","6","3891"
"Lagarto (SE)","2010","79387","39245","10316","2455","1477","1096","282","83","24432"
"Laranjeiras (SE)","2010","21969","7426","2452","630","304","213","73","10","10861"
"Macambira (SE)","2010","5347","3234","399","103","66","23","2","-","1521"
"Malhada dos Bois (SE)","2010","2814","1255","237","68","20","13","9","-","1212"
"Malhador (SE)","2010","9975","5363","1139","270","180","83","19","-","2921"
"Maruim (SE)","2010","13219","4925","1781","493","280","122","47","-","5571"
"Moita Bonita (SE)","2010","9445","5207","1220","196","138","93","5","-","2587"
"Monte Alegre de Sergipe (SE)","2010","10863","4608","878","185","126","81","18","-","4967"
"Muribeca (SE)","2010","6118","2776","642","175","82","52","15","-","2375"
"Neópolis (SE)","2010","15294","5893","1404","385","319","208","22","5","7059"
"Nossa Senhora Aparecida (SE)","2010","7198","3782","583","127","100","54","14","-","2538"
