"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Irajuba (BA)","2018","49","49","457","407","452.96","9764","1.7","1658.19"
"Iramaia (BA)","2018","74","72","594","523","556.42","12752","1.8","1762.88"
"Iraquara (BA)","2018","220","219","1432","1184","1190.55","39582","2.7","2557.43"
"Irará (BA)","2018","224","221","2235","1984","2231.82","50897","1.8","1754.24"
"Irecê (BA)","2018","2098","2026","14009","11534","11770.84","269090","1.8","1758.52"
"Itabela (BA)","2018","405","397","3025","2578","2716.98","62363","1.9","1765.63"
"Itaberaba (BA)","2018","1265","1230","10198","8623","9325.55","180110","1.6","1485.66"
"Itabuna (BA)","2018","5007","4788","46185","40027","41079.18","1038461","2.0","1944.58"
"Itacaré (BA)","2018","571","564","3406","2834","2917.40","64752","1.8","1707.33"
"Itaeté (BA)","2018","99","98","809","718","760.11","12636","1.3","1278.79"
"Itagi (BA)","2018","97","96","746","644","715.96","16194","1.8","1739.86"
"Itagibá (BA)","2018","136","133","1508","1353","1242.53","33376","2.2","2066.26"
"Itagimirim (BA)","2018","65","65","845","780","786.06","19208","2.0","1879.67"
"Itaguaçu da Bahia (BA)","2018","57","57","559","513","801.61","16700","1.7","1602.57"
"Itaju do Colônia (BA)","2018","48","48","619","563","578.27","10602","1.5","1410.29"
"Itajuípe (BA)","2018","180","178","1654","1436","1553.28","35312","1.8","1748.74"
"Itamaraju (BA)","2018","1085","1072","8103","6704","7512.20","155267","1.7","1589.90"
"Itamari (BA)","2018","36","36","491","454","500.76","11991","1.9","1841.90"
"Itambé (BA)","2018","182","177","1825","1621","1667.62","42843","2.1","1976.23"
"Itanagra (BA)","2018","32","31","632","595","553.40","12549","1.8","1744.26"
"Itanhém (BA)","2018","201","199","1409","1192","1188.58","23271","1.6","1506.05"
"Itaparica (BA)","2018","180","178","2265","2065","2193.26","42998","1.6","1508.06"
"Itapé (BA)","2018","101","100","758","657","678.12","14000","1.7","1588.09"
"Itapebi (BA)","2018","68","64","772","693","783.64","22049","2.3","2164.38"
"Itapetinga (BA)","2018","1348","1303","13360","11722","12430.98","242289","1.6","1499.29"
"Itapicuru (BA)","2018","230","227","2065","1832","1854.68","47268","2.1","1960.46"
"Itapitanga (BA)","2018","75","74","801","721","707.53","14828","1.7","1612.08"
"Itaquara (BA)","2018","48","48","523","474","503.83","9877","1.6","1508.03"
"Itarantim (BA)","2018","206","200","2397","2171","2158.24","42579","1.6","1517.57"
"Itatim (BA)","2018","189","182","1426","1266","1442.12","29523","1.7","1574.78"
"Itiruçu (BA)","2018","116","115","937","805","823.00","14942","1.5","1396.57"
"Itiúba (BA)","2018","361","359","1921","1747","1773.38","45869","2.1","1989.64"
"Itororó (BA)","2018","432","426","2547","2126","2272.39","44517","1.6","1506.96"
"Ituaçu (BA)","2018","260","257","1608","1266","1296.03","32045","2.0","1901.94"
"Ituberá (BA)","2018","385","378","2562","2149","2265.19","49461","1.8","1679.62"
"Iuiu (BA)","2018","102","102","713","609","614.36","14967","2.0","1874.03"
"Jaborandi (BA)","2018","126","118","1596","1473","1481.19","41612","2.3","2161.04"
"Jacaraci (BA)","2018","166","164","755","602","629.02","12301","1.6","1504.24"
"Jacobina (BA)","2018","1578","1526","12438","10627","10465.80","282650","2.2","2077.46"
"Jaguaquara (BA)","2018","781","760","4639","3782","4059.15","95090","1.9","1802.01"
"Jaguarari (BA)","2018","354","347","4106","3637","3702.59","131539","2.9","2732.80"
"Jaguaripe (BA)","2018","82","82","1102","1023","1081.35","26422","2.0","1879.55"
"Jandaíra (BA)","2018","97","97","888","731","694.22","14887","1.7","1649.55"
"Jequié (BA)","2018","3096","2982","26329","22316","22676.51","559258","2.0","1897.11"
"Jeremoabo (BA)","2018","285","280","2796","2491","2450.18","60169","2.0","1888.99"
"Jiquiriçá (BA)","2018","100","100","765","652","765.50","16461","1.7","1654.17"
"Jitaúna (BA)","2018","140","134","1432","1271","1178.51","28101","1.9","1834.18"
"João Dourado (BA)","2018","211","207","1552","1323","1348.20","35264","2.1","2012.01"
"Juazeiro (BA)","2018","3665","3509","39225","35097","36126.33","954970","2.1","2033.40"
"Jucuruçu (BA)","2018","37","34","541","504","706.57","12892","1.5","1403.50"
"Jussara (BA)","2018","166","164","729","607","610.56","17573","2.3","2213.95"
"Jussari (BA)","2018","62","61","674","600","587.39","11689","1.6","1530.76"
"Jussiape (BA)","2018","147","145","649","500","510.80","9304","1.5","1401.18"
"Lafaiete Coutinho (BA)","2018","41","41","404","363","393.46","8167","1.7","1596.66"
"Lagoa Real (BA)","2018","124","123","316","189","166.37","2904","1.4","1342.55"
"Laje (BA)","2018","142","140","1745","1605","1780.17","41676","1.9","1800.85"
"Lajedão (BA)","2018","38","38","377","343","531.74","10297","1.6","1489.61"
"Lajedinho (BA)","2018","35","35","312","288","287.14","6213","1.7","1664.37"
"Lajedo do Tabocal (BA)","2018","62","62","615","540","545.08","11007","1.6","1553.40"
"Lamarão (BA)","2018","73","72","397","356","510.16","11844","1.9","1785.91"
"Lapão (BA)","2018","164","163","1497","1307","1525.26","31810","1.7","1604.27"
"Lauro de Freitas (BA)","2018","7688","7526","120843","110937","109781.99","2525674","1.9","1769.71"
"Lençóis (BA)","2018","190","186","1278","1020","991.99","21388","1.7","1658.49"
"Licínio de Almeida (BA)","2018","227","218","1122","936","905.43","18173","1.6","1543.96"
"Livramento de Nossa Senhora (BA)","2018","816","777","4196","3260","3238.30","65966","1.6","1566.97"
"Luís Eduardo Magalhães (BA)","2018","3410","3319","23731","19644","20159.08","550691","2.2","2101.33"
"Macajuba (BA)","2018","85","85","523","429","461.39","13667","2.4","2278.65"
"Macarani (BA)","2018","177","173","1825","1622","1612.16","31160","1.6","1486.79"
"Macaúbas (BA)","2018","728","717","3650","2804","2910.21","68056","1.9","1798.86"
"Macururé (BA)","2018","45","45","735","692","640.40","9918","1.2","1191.27"
"Madre de Deus (BA)","2018","169","168","2878","2700","2870.48","125389","3.5","3360.18"
"Maetinga (BA)","2018","71","69","556","481","586.75","10990","1.5","1440.74"
"Maiquinique (BA)","2018","117","115","1017","927","1053.88","22111","1.7","1613.90"
"Mairi (BA)","2018","146","146","987","851","932.31","20939","1.8","1727.60"
"Malhada (BA)","2018","105","103","813","726","731.52","15649","1.7","1645.60"
"Malhada de Pedras (BA)","2018","101","101","677","578","656.09","13310","1.6","1560.51"
"Manoel Vitorino (BA)","2018","91","90","1053","955","915.52","27355","2.4","2298.43"
"Mansidão (BA)","2018","61","61","586","525","523.74","13545","2.1","1989.35"
"Maracás (BA)","2018","466","454","3307","2792","2802.12","74265","2.1","2038.72"
"Maragogipe (BA)","2018","270","260","2004","1730","1842.68","54688","2.4","2282.95"
"Maraú (BA)","2018","294","291","2137","1835","1947.52","41067","1.7","1622.06"
"Marcionílio Souza (BA)","2018","90","89","590","517","507.97","10385","1.6","1572.55"
"Mascote (BA)","2018","132","132","1017","877","882.41","17349","1.6","1512.42"
"Mata de São João (BA)","2018","956","911","14907","13777","13622.52","349063","2.1","1971.08"
"Matina (BA)","2018","78","78","636","560","569.14","12416","1.8","1678.08"
"Medeiros Neto (BA)","2018","250","246","3131","2861","3415.50","78950","1.9","1778.08"
"Miguel Calmon (BA)","2018","381","375","1944","1681","1678.36","37481","1.8","1717.86"
"Milagres (BA)","2018","115","113","814","693","684.03","14477","1.7","1628.00"
"Mirangaba (BA)","2018","60","60","877","815","877.60","20131","1.8","1764.49"
"Mirante (BA)","2018","84","83","513","436","453.65","10104","1.8","1713.34"
"Monte Santo (BA)","2018","431","428","2731","2327","2421.44","62560","2.1","1987.37"
"Morpará (BA)","2018","69","69","409","345","443.92","9364","1.7","1622.56"
"Morro do Chapéu (BA)","2018","360","356","3679","3304","3194.66","81059","2.0","1951.80"
"Mortugaba (BA)","2018","240","236","932","697","764.97","13274","1.4","1334.83"
"Mucugê (BA)","2018","142","140","2261","2100","2193.04","51162","1.9","1794.54"
"Mucuri (BA)","2018","651","616","7999","7265","7818.26","349030","3.6","3434.08"
"Mulungu do Morro (BA)","2018","131","130","805","741","727.78","16769","1.9","1772.41"
"Mundo Novo (BA)","2018","198","194","1053","901","974.93","24197","2.0","1909.13"
"Muniz Ferreira (BA)","2018","52","52","498","442","498.53","9093","1.5","1403.09"
"Muquém do São Francisco (BA)","2018","51","50","748","703","705.55","20922","2.4","2281.05"
"Muritiba (BA)","2018","329","319","2539","2219","2401.36","48863","1.6","1565.25"
"Mutuípe (BA)","2018","289","284","1786","1492","1501.00","33460","1.8","1714.78"
"Nazaré (BA)","2018","451","448","2739","2277","2359.17","51026","1.7","1663.77"
"Nilo Peçanha (BA)","2018","99","98","818","743","807.24","18767","1.9","1788.38"
"Nordestina (BA)","2018","125","125","926","801","807.27","29366","2.9","2798.21"
"Nova Canaã (BA)","2018","126","123","872","744","758.29","17647","1.9","1790.15"
"Nova Fátima (BA)","2018","103","101","633","537","555.82","11633","1.7","1609.96"
"Nova Ibiá (BA)","2018","26","26","382","350","341.85","8911","2.1","2005.13"
"Nova Itarana (BA)","2018","47","47","511","455","544.59","9021","1.3","1274.26"
"Nova Redenção (BA)","2018","45","43","466","427","568.32","10507","1.5","1422.17"
"Nova Soure (BA)","2018","167","164","1558","1353","1472.84","37162","2.0","1940.90"
"Nova Viçosa (BA)","2018","580","562","6097","5405","5618.33","129897","1.9","1778.48"
"Novo Horizonte (BA)","2018","111","111","628","517","652.55","10663","1.3","1256.98"
"Novo Triunfo (BA)","2018","84","83","668","579","604.06","13693","1.8","1743.73"
"Olindina (BA)","2018","200","198","1383","1197","1367.54","32762","1.9","1842.81"
"Oliveira dos Brejinhos (BA)","2018","245","244","1544","1265","1271.68","29204","1.9","1766.54"
"Ouriçangas (BA)","2018","40","39","445","404","392.28","10623","2.2","2083.02"
"Ourolândia (BA)","2018","188","178","1533","1296","1393.96","30715","1.8","1694.96"
"Palmas de Monte Alto (BA)","2018","159","158","1188","1020","1059.81","24082","1.8","1747.94"
"Palmeiras (BA)","2018","108","108","718","593","586.44","14396","2.0","1888.30"
"Paramirim (BA)","2018","450","437","2002","1501","1458.27","34790","1.9","1835.14"
"Paratinga (BA)","2018","230","226","1978","1750","1931.43","40373","1.7","1607.95"
"Paripiranga (BA)","2018","270","262","2234","1870","1906.50","49224","2.1","1986.06"
"Pau Brasil (BA)","2018","105","103","809","706","717.79","16497","1.9","1767.93"
"Paulo Afonso (BA)","2018","1680","1597","16761","14756","14751.51","407923","2.2","2127.15"
"Pé de Serra (BA)","2018","118","117","852","736","734.04","17349","1.9","1818.08"
"Pedrão (BA)","2018","31","30","385","342","353.51","7069","1.6","1538.20"
"Pedro Alexandre (BA)","2018","54","54","977","922","915.51","19221","1.7","1614.98"
"Piatã (BA)","2018","188","187","858","653","655.84","15809","1.9","1854.24"
"Pilão Arcado (BA)","2018","162","161","2089","1901","1876.72","38900","1.7","1594.43"
"Pindaí (BA)","2018","158","156","714","574","606.45","16127","2.1","2045.52"
"Pindobaçu (BA)","2018","164","164","1417","1245","1241.19","26952","1.8","1670.34"
"Pintadas (BA)","2018","123","119","797","633","689.90","16526","1.9","1842.64"
"Piraí do Norte (BA)","2018","40","40","607","554","563.67","11591","1.7","1581.77"
"Piripá (BA)","2018","92","92","598","502","502.06","8804","1.4","1348.85"
"Piritiba (BA)","2018","220","213","1027","824","819.43","19888","2.0","1866.93"
"Planaltino (BA)","2018","66","61","473","423","517.72","10274","1.6","1526.48"
"Planalto (BA)","2018","238","226","1730","1483","1507.27","33042","1.8","1686.31"
"Poções (BA)","2018","654","640","4349","3606","3402.70","83843","2.0","1895.40"
"Pojuca (BA)","2018","486","471","7082","6508","6447.94","256509","3.2","3060.12"
"Ponto Novo (BA)","2018","191","190","1249","1047","1000.77","21872","1.8","1681.20"
"Porto Seguro (BA)","2018","4303","4118","34694","29691","29400.37","709735","1.9","1856.95"
"Potiraguá (BA)","2018","98","96","1054","958","981.26","18816","1.5","1475.04"
"Prado (BA)","2018","358","351","2863","2403","2754.40","60874","1.8","1700.05"
"Presidente Dutra (BA)","2018","141","140","893","743","740.67","14194","1.5","1474.16"
"Presidente Jânio Quadros (BA)","2018","126","125","650","560","693.35","14696","1.7","1630.41"
"Presidente Tancredo Neves (BA)","2018","340","332","1983","1650","1786.55","42595","1.9","1833.99"
"Queimadas (BA)","2018","289","284","1814","1540","1543.75","42802","2.2","2132.78"
"Quijingue (BA)","2018","155","153","1211","1060","1179.66","32468","2.2","2117.14"
"Quixabeira (BA)","2018","78","78","626","564","558.72","11116","1.6","1530.48"
"Rafael Jambeiro (BA)","2018","117","114","1524","1402","1464.88","36047","2.0","1892.88"
"Remanso (BA)","2018","510","497","3841","3290","3628.59","77539","1.7","1643.77"
"Retirolândia (BA)","2018","137","136","1345","1210","1327.57","23339","1.4","1352.32"
"Riachão das Neves (BA)","2018","167","161","1545","1342","1328.09","35830","2.2","2075.27"
"Riachão do Jacuípe (BA)","2018","575","560","3851","3156","3128.31","67362","1.7","1656.38"
"Riacho de Santana (BA)","2018","473","462","2295","1456","1630.61","37272","1.8","1758.28"
"Ribeira do Amparo (BA)","2018","79","79","1447","1342","1173.55","25770","1.8","1689.17"
"Ribeira do Pombal (BA)","2018","888","874","5583","4444","4774.16","107779","1.8","1736.57"
"Ribeirão do Largo (BA)","2018","50","49","621","565","603.57","12067","1.6","1537.88"
"Rio de Contas (BA)","2018","175","173","995","797","778.75","14485","1.5","1430.76"
"Rio do Antônio (BA)","2018","219","214","921","734","726.36","16780","1.9","1777.08"
"Rio do Pires (BA)","2018","161","161","832","646","634.33","12030","1.5","1458.79"
"Rio Real (BA)","2018","472","464","3677","3188","3405.04","68709","1.6","1552.19"
"Rodelas (BA)","2018","79","79","764","678","750.28","15097","1.6","1547.87"
"Ruy Barbosa (BA)","2018","363","355","3331","2887","3193.51","60081","1.5","1447.20"
"Salinas da Margarida (BA)","2018","102","101","1128","1022","976.41","19524","1.6","1538.12"
"Salvador (BA)","2018","61745","57066","849711","766716","758128.24","32566014","3.5","3304.29"
"Santa Bárbara (BA)","2018","190","189","1381","1242","1257.52","25602","1.6","1566.06"
"Santa Brígida (BA)","2018","120","119","1047","965","960.05","17823","1.5","1428.08"
"Santa Cruz Cabrália (BA)","2018","486","477","4119","3582","3941.70","87901","1.8","1715.41"
"Santa Cruz da Vitória (BA)","2018","68","67","582","519","518.31","9961","1.5","1478.36"
"Santa Inês (BA)","2018","71","70","540","452","464.94","11106","1.9","1837.48"
"Santaluz (BA)","2018","466","461","3111","2633","2744.20","67448","2.0","1890.63"
"Santa Luzia (BA)","2018","98","96","874","746","808.33","15917","1.6","1514.72"
"Santa Maria da Vitória (BA)","2018","740","715","4736","3958","4154.36","106377","2.1","1969.69"
"Santana (BA)","2018","328","320","1886","1501","1502.83","33665","1.8","1723.18"
"Santanópolis (BA)","2018","38","38","399","355","369.77","9788","2.1","2036.11"
"Santa Rita de Cássia (BA)","2018","268","261","1537","1243","1239.52","31839","2.1","1975.86"
"Santa Terezinha (BA)","2018","96","96","634","541","654.97","12823","1.6","1506.00"
"Santo Amaro (BA)","2018","674","663","5688","4958","5383.62","132769","2.0","1897.05"
"Santo Antônio de Jesus (BA)","2018","2465","2397","24290","21009","20828.70","477050","1.8","1761.81"
"Santo Estêvão (BA)","2018","735","731","7790","7000","6802.55","131206","1.6","1483.68"
"São Desidério (BA)","2018","432","421","5940","5421","5291.17","153429","2.3","2230.55"
"São Domingos (BA)","2018","116","115","673","557","597.60","12355","1.7","1590.31"
"São Félix (BA)","2018","71","70","2121","2042","1644.25","36695","1.8","1716.69"
"São Félix do Coribe (BA)","2018","256","251","1774","1498","1397.76","31524","1.8","1734.88"
"São Felipe (BA)","2018","298","294","1904","1521","1710.84","37476","1.8","1685.01"
"São Francisco do Conde (BA)","2018","252","242","9383","9158","9141.78","622964","5.5","5241.90"
"São Gabriel (BA)","2018","247","245","1124","949","1089.61","24238","1.8","1711.16"
"São Gonçalo dos Campos (BA)","2018","482","478","7387","6844","6537.39","151986","1.9","1788.36"
"São José da Vitória (BA)","2018","40","39","565","521","605.39","10752","1.4","1366.20"
"São José do Jacuípe (BA)","2018","94","91","665","569","616.56","12954","1.7","1616.13"
"São Miguel das Matas (BA)","2018","73","72","734","653","736.35","12844","1.4","1341.79"
"São Sebastião do Passé (BA)","2018","430","425","6384","5783","4615.63","185793","3.2","3096.39"
"Sapeaçu (BA)","2018","155","154","1505","1337","1744.53","31346","1.4","1382.17"
"Sátiro Dias (BA)","2018","178","177","1692","1493","1512.27","35276","1.9","1794.36"
"Saubara (BA)","2018","146","146","1155","955","934.50","15935","1.4","1311.65"
"Saúde (BA)","2018","71","70","738","680","739.63","14776","1.6","1536.74"
"Seabra (BA)","2018","760","747","6111","5223","4913.47","113487","1.9","1776.69"
"Sebastião Laranjeiras (BA)","2018","109","109","728","622","677.71","14517","1.7","1647.80"
